station_name,street_address,city,state,zip,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_network,ev_connector_types,access_code,access_detail_code,facility_type
Blue Ridge Community College - Patton Hall,43-65 W Campus Dr,Flat Rock,NC,28731,,2,,Non-Networked,J1772,public,Unknown,COLLEGE_CAMPUS
OhioHealth Riverside Hospital - Visitor's Lot,3535 Olentangy River Rd,Columbus,OH,43214,,2,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
EchoPark Automotive,500 E 104th Ave,Thornton,CO,80233,,2,,Non-Networked,J1772,public,CALL,CAR_DEALER
EchoPark Automotive,10401 E Arapahoe Rd,Centennial,CO,80111,,1,,Non-Networked,J1772,public,CALL,CAR_DEALER
EchoPark Automotive,1626 Jamboree Dr,Colorado Springs,CO,80920,,1,,Non-Networked,J1772,public,CALL,CAR_DEALER
Ohio Caverns,2210 State Route 245 E,West Liberty,OH,43357,,1,,Non-Networked,J1772,public,Unknown,PARK
Penguin Random House,400 Hahn Rd,Westminster,MD,21157,,1,,Non-Networked,J1772,private,Unknown,OFFICE_BLDG
Arena Garage - South Howard Street,99 S Howard St,Baltimore,MD,21201,,4,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
Caroline Street Garage,805 S Caroline St,Baltimore,MD,21231,,6,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
Nachman Norwood & Parrott Wealth Management,1116 S Main St,Greenville,SC,29601,,1,,Non-Networked,TESLA,private,Unknown,OFFICE_BLDG
Town of Ashford,9377 Route 240,West Valley,NY,14171,2,,,Non-Networked,NEMA520,public,Unknown,MUNI_GOV
Magic Inc,373 Oxford Ave,Palo Alto,CA,94306,,1,,Non-Networked,J1772,private,Unknown,OFFICE_BLDG
Boise City Hall,150 N Capitol Blvd,Boise,ID,83702,,1,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Edenson Dental,109 W Bearss Ave,Tampa,FL,33613,,2,,Non-Networked,J1772 TESLA,public,Unknown,OFFICE_BLDG
City of Hyattsville - Municipal Building,4310 Gallatin St,Hyattsville,MD,20781,,3,,Non-Networked,J1772,private,Unknown,MUNI_GOV
Baltimore Police Marine Unit,3201 Boston St,Baltimore,MD,21224,,3,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Tidewater Marina,321 E Cromwell St,Baltimore,MD,21230,,3,,Non-Networked,J1772,public,Unknown,MUNI_GOV
"Paul Schafer, DDS",896 Sutro Ave,Novato,CA,94947,,1,,Non-Networked,J1772,public,CALL,PARKING_LOT
Oregon Department of Energy,550 Capitol St NE,Salem,OR,97301,12,,,Non-Networked,NEMA520,private,Unknown,STATE_GOV
801 Dillingham Honolulu by Hawaiian Electric,801 Dillingham,Honolulu,HI,96817,,,2,OpConnect,CHADEMO J1772COMBO,public,Unknown,
"Kitsap Transit - North Viking Poulsbo Park N Ride, WA",21711 Vetter Rd NW,Poulsbo,WA,98370,,4,,OpConnect,J1772,public,Unknown,
Drake University - Knapp Center,2601 Forest Ave,Des Moines,IA,50311,,1,,Non-Networked,J1772,public,Unknown,COLLEGE_CAMPUS
Village of Sodus,14-16 Mill St,Sodus,NY,14551,,2,,Non-Networked,J1772,public,Unknown,MUNI_GOV
University of Dayton - RecPlex,300 College Park Dr,Dayton,OH,45469,,2,,Non-Networked,J1772,public,Unknown,COLLEGE_CAMPUS
University of Dayton - St. Joseph's Hall,300 College Park Dr,Dayton,OH,45469,,2,,Non-Networked,J1772,public,Unknown,COLLEGE_CAMPUS
Southern Oregon University - Lot 1,1554 Webster St,Ashland,OR,97520,,2,,Non-Networked,J1772,public,Unknown,COLLEGE_CAMPUS
Southern Oregon University - Lot 27,1150 Ashland St,Ashland,OR,97520,,1,,Non-Networked,J1772,public,Unknown,COLLEGE_CAMPUS
Wright State University - Lot 1A,3640 Colonel Glenn Hwy,Fairborn,OH,45324,,2,,Non-Networked,J1772,public,Unknown,COLLEGE_CAMPUS
TOWN OF PUTNAM KENNEDY DR LOT,1-73 Canal St,Putnam,CT,6260,,2,,ChargePoint Network,J1772,public,Unknown,
EDENS PRINCETON EV STATION 01,301 N Harrison St Located by Nomad Pizza,Princeton,NJ,8540,,2,,ChargePoint Network,J1772,public,Unknown,
RMLD RMLD ASH ST ST2,230 Ash St,Reading,MA,1867,,2,,ChargePoint Network,J1772,public,Unknown,
